waktu;hari;mode;LDR_L1;LDR_L2;LDR_L3;LDR_R1;LDR_R2;LDR_R3;LDR_U1;LDR_U2;LDR_U3;LDR_U4;arus;tegangan;daya
09:00;1;tracking;3664;3225;4035;2975;3479;2842;3859;3647;4095;3622;1.21;11.93;14.4
09:02;1;tracking;3982;3216;3984;3510;3829;2833;3798;3621;4095;3615;1.12;11.85;13.27
09:04;1;tracking;3514;2960;3646;3095;3515;2653;3279;3527;3763;3570;0.64;11.77;7.58
09:06;1;tracking;3583;3030;3699;3203;3578;2698;3376;3583;3841;3651;0.68;11.77;8
09:08;1;tracking;4019;3306;4033;3645;3929;2908;3884;3680;4095;3734;1.16;11.89;13.84
09:10;1;tracking;4028;3280;4022;3643;3950;2942;3883;3669;4095;3746;1.21;11.92;14.43
09:12;1;tracking;3808;3071;3856;3435;3798;2853;3665;3538;4060;3682;0.91;11.86;10.79
09:14;1;tracking;3299;2849;3491;2997;3424;2651;3095;3417;3707;3571;0.57;11.78;6.73
09:16;1;tracking;3200;2799;3421;2928;3359;2620;3007;3353;3632;3523;0.53;11.76;6.27
09:18;1;tracking;3124;2785;3389;2896;3331;2597;2943;3359;3572;3489;0.51;11.75;6
09:20;1;tracking;3125;2763;3399;2838;3295;2559;2898;3318;3520;3431;0.5;11.74;5.87
09:22;1;tracking;3152;2766;3407;2836;3309;2559;2901;3322;3504;3426;0.5;11.74;5.89
09:24;1;tracking;3197;2794;3456;2871;3323;2593;2951;3350;3531;3461;0.52;11.74;6.12
09:26;1;tracking;3311;2841;3517;2923;3376;2598;3059;3377;3600;3478;0.55;11.75;6.44
09:28;1;tracking;3802;3210;3834;3312;3699;2714;3583;3483;3991;3542;0.76;11.8;9.01
09:30;1;statis;4043;3502;4011;3573;3931;2869;3890;3571;4095;3617;1.06;11.88;12.56
09:32;1;statis;3920;3341;3902;3445;3832;2799;3749;3550;4095;3605;0.89;11.85;10.55
09:34;1;statis;3933;3408;3922;3664;4080;2752;3781;3553;4095;3616;0.87;11.85;10.35
09:36;1;statis;3415;2967;3632;3135;3542;2624;3313;3497;3808;3557;0.62;11.76;7.26
09:38;1;statis;3359;2928;3583;3088;3472;2609;3218;3455;3729;3548;0.58;11.75;6.83
09:40;1;statis;3242;2855;3504;3012;3406;2559;3104;3418;3635;3511;0.53;11.74;6.22
